Title,Year,Rating10,imdbID
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6,tt0363771
"A Beautiful Mind",2001,8,tt0268978
"Deadpool 2",2018,8,tt5463162
"Black Panther",2018,7,tt1825683
"WALL·E",2008,9,tt0910970
"The Hurt Locker",2008,7,tt0887912
"Black Swan",2010,7,tt0947798
"Shang-Chi and the Legend of the Ten Rings",2021,6,tt9376612
"Iron Man",2008,8,tt0371746
"Spider-Man: Homecoming",2017,7,tt2250912
"Black Widow",2021,6,tt3480822
"Catch Me If You Can",2002,7,tt0264464
"Home Alone",1990,8,tt0099785
"The Avengers",2012,7,tt0848228
"Zero Dark Thirty",2012,7,tt1790885
"American Made",2017,7,tt3532216
"Thor: Ragnarok",2017,8,tt3501632
"Annihilation",2018,7,tt2798920
"Rise of the Planet of the Apes",2011,7,tt1318514
"A Star Is Born",2018,7,tt1517451
"Harry Potter and the Goblet of Fire",2005,8,tt0330373
"300",2007,7,tt0416449
"Shrek",2001,8,tt0126029
"The Trial of the Chicago 7",2020,8,tt1070874
"No Time to Die",2021,7,tt2382320
"Drive (2011)",2011,8,tt0780504
"Pig",2021,7,tt11003218
"Baby Driver",2017,7,tt3890160
"Indiana Jones and the Temple of Doom",1984,7,tt0087469
"Ready Player One",2018,7,tt1677720
"Avengers: Endgame",2019,8,tt4154796
"Eternal Sunshine of the Spotless Mind",2004,7,tt0338013
"Harry Potter and the Chamber of Secrets",2002,8,tt0295297
